,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,SMA_50,SMA_100,EMA_20,EMA_50,RSI,Buy_Signal,Sell_Signal
0,2024-11-26T05:00:00.000Z,232.76849125195545,235.00310615337486,232.76849125195545,234.49432373046875,45986200,0,0,226.36541900634765,227.69527069091797,224.72993392944335,228.17095855544156,227.10270853445553,63.51175799920378,false,false
1,2024-11-27T05:00:00.000Z,233.9057547855541,235.12282010257627,233.24733940643014,234.36463928222656,33498400,0,0,226.61895065307618,227.98422424316405,224.7974252319336,228.76083291037347,227.38749013240735,63.17792240782326,false,false
2,2024-11-29T05:00:00.000Z,234.24492549364632,237.2377059705746,233.40695061340287,236.7588653564453,28481400,0,0,227.20095977783203,228.1580355834961,224.84605880737305,229.52255028618984,227.75499504315394,66.66194310757795,false,false
3,2024-12-02T05:00:00.000Z,236.69901868412032,240.21053691361496,236.58928278806928,239.013427734375,48137100,0,0,228.04517211914063,228.3902911376953,224.97108612060546,230.42644337649318,228.19650220751555,69.58073380842445,false,false
4,2024-12-03T05:00:00.000Z,239.232908507596,242.1758064568113,238.32509471728144,242.06607055664062,38861000,0,0,229.08685913085938,228.7180780029297,225.0970782470703,231.534979298412,228.7404068486577,73.02447845150455,false,true
5,2024-12-04T05:00:00.000Z,242.28553892887177,243.5225604021956,240.66944226019712,242.42520141601562,44383900,0,0,230.0747543334961,229.0351107788086,225.18824142456054,232.57214330961233,229.27706545914234,73.40592051724563,false,true
6,2024-12-05T05:00:00.000Z,243.40284992887905,243.95151419061432,241.54732536132988,242.4551239013672,40033900,0,0,231.10051803588868,229.37267211914062,225.27552337646483,233.51337955644613,229.7938520647198,73.43961995399553,false,true
7,2024-12-06T05:00:00.000Z,242.32543882662802,244.04130085085734,241.49743440151175,242.25559997558594,36870600,0,0,231.87913970947267,229.6833233642578,225.41993347167968,234.3459719773166,230.28254806122436,72.77737891302708,false,true
8,2024-12-09T05:00:00.000Z,241.24804586880077,246.64503053466012,241.16823655952678,246.1562042236328,44649200,0,0,232.8662582397461,230.06660552978516,225.65013092041016,235.47075600077528,230.90504438131882,77.12093584739989,false,true
9,2024-12-10T05:00:00.000Z,246.2958646584201,247.612695417372,244.7495916510093,247.1737518310547,36914800,0,0,234.04042587280273,230.36640350341796,225.88921005249023,236.58532703223045,231.54303290875947,78.10249774480059,false,true
10,2024-12-11T05:00:00.000Z,247.3632990378159,250.19646101706442,245.66737785476369,245.89683532714844,45205800,0,0,235.15074768066407,230.7759875488281,226.11900344848632,237.47213734603216,232.10592712124532,73.82234080561886,false,true
11,2024-12-12T05:00:00.000Z,246.2958641332418,248.1414182384854,245.08876927344312,247.36329650878906,32777500,0,0,236.29000015258788,231.20354095458984,226.35301055908204,238.41415250438996,232.70425533252154,75.48398273862702,false,true
12,2024-12-13T05:00:00.000Z,247.223631137632,248.69007959411312,245.647431564018,247.5328826904297,33155300,0,0,237.28310470581056,231.65660858154297,226.65311233520507,239.2826029982985,233.2857701308709,75.67626598842298,false,true
13,2024-12-16T05:00:00.000Z,247.3932343641577,250.77507595019196,247.05404098232512,250.43588256835938,51694800,0,0,238.58197174072265,232.14521484375,226.99269500732422,240.34482010020906,233.958323559792,78.74892074204664,false,true
14,2024-12-17T05:00:00.000Z,249.47818331943677,253.21915892963332,249.1789022262073,252.8699951171875,51356400,0,0,239.85190811157227,232.7843453979492,227.35194076538085,241.53769391134986,234.6999577385134,80.92478268030987,false,true
15,2024-12-18T05:00:00.000Z,251.55318925842403,253.66808268004456,247.14382766353577,247.4530792236328,56774100,0,0,240.83802947998046,233.23382354736327,227.6542303466797,242.1010639410911,235.20008014969457,64.97977690967203,false,false
16,2024-12-19T05:00:00.000Z,246.90440599607692,251.3935770141874,246.49538898335234,249.1888885498047,60882300,0,0,241.87502822875976,233.64288208007812,227.96830413818358,242.77609485620667,235.74866087126753,67.209379124641,false,false
17,2024-12-20T05:00:00.000Z,247.44310326755718,254.3863612366688,245.09876750312787,253.87759399414062,147495300,0,0,243.17040405273437,234.15567962646483,228.29661773681642,243.83338048839084,236.4595994251057,72.33329045519423,false,true
18,2024-12-23T05:00:00.000Z,254.15691915529422,255.03479114956258,252.8400883307868,254.6557159423828,40858800,0,0,244.43734893798828,234.7137353515625,228.6697393798828,244.86407910305675,237.17317262186168,73.08495905643035,false,true
19,2024-12-24T05:00:00.000Z,254.87518901917565,257.58862955018265,254.67565812568793,257.57867431640625,23234700,0,0,245.7008026123047,235.2555126953125,229.05716033935548,246.07499293289956,237.97338837458892,75.75020128162296,false,true
20,2024-12-26T05:00:00.000Z,257.56867823862046,259.47408555117545,257.0100282923795,258.39666748046875,27237100,0,0,246.8959197998047,235.7628286743164,229.55816833496092,247.24848574695375,238.77430128070185,76.45293399099816,false,true
21,2024-12-27T05:00:00.000Z,257.20952960207876,258.0774615569102,252.4510193654514,254.9749298095703,42355300,0,0,247.9264343261719,236.24296508789064,230.04526397705078,247.98433756244103,239.40962004653983,67.62478510842317,false,false
22,2024-12-30T05:00:00.000Z,251.62300520062965,252.88995321263158,250.14657107718884,251.59307861328125,35557500,0,0,248.66814498901368,236.64809020996094,230.47276153564454,248.32802718633056,239.88740273543164,60.223093003019535,false,false
23,2024-12-31T05:00:00.000Z,251.83251072711272,252.67048563095815,248.82974448856297,249.81736755371094,39480700,0,0,249.20834197998047,236.96090087890624,230.84776473999023,248.46986912608105,240.2768131204622,56.71306390761336,false,false
24,2025-01-02T05:00:00.000Z,248.3309608077005,248.5005651105234,241.23808511721737,243.26319885253906,55740700,0,0,249.2681983947754,237.11313171386718,231.12806243896483,247.97399576669608,240.39392628642602,46.045507993853185,false,false
25,2025-01-03T05:00:00.000Z,242.7743682861328,243.5923870862029,241.3079045417172,242.7743682861328,40244100,0,0,249.28565673828126,237.26794250488283,231.38812576293947,247.47879314949958,240.4872769530812,45.36020559246734,false,false
26,2025-01-06T05:00:00.000Z,243.72207367593157,246.73481040856498,242.61474424512696,244.41041564941406,45045600,0,0,249.3834213256836,237.55711700439454,231.6272805786133,247.18656672092,240.64112552940796,48.1420481474566,false,false
27,2025-01-07T05:00:00.000Z,242.3952722906863,244.9590949760797,240.76920518354387,241.62713623046875,40856000,0,0,249.35199813842775,237.79441253662108,231.83411834716796,246.65709715040086,240.67979261572407,44.034677205802694,false,false
28,2025-01-08T05:00:00.000Z,241.33782978685954,243.12353076570005,239.47233471944105,242.11595153808594,37628900,0,0,249.14998550415038,238.02474334716797,232.01594940185547,246.22460709208514,240.73611257346377,44.92342585740335,false,false
29,2025-01-10T05:00:00.000Z,239.43242868693397,239.58207685657038,232.43930319937854,236.28004455566406,61710900,0,0,248.60530014038085,238.09869537353515,232.12616790771483,245.27750589814028,240.56136480805986,37.30631113593793,false,false
30,2025-01-13T05:00:00.000Z,232.96802072299363,234.10527676213235,229.16719172961072,233.83592224121094,49630700,0,0,248.00225448608398,238.1183837890625,232.21353958129882,244.187831264147,240.2976219623011,34.656008728310766,false,false
31,2025-01-14T05:00:00.000Z,234.1850763475817,235.55177458449063,231.9105643637605,232.71861267089844,39435300,0,0,247.27002029418946,238.18687591552734,232.28356002807618,243.09552473145666,240.00040591165788,33.484899537119816,false,false
32,2025-01-15T05:00:00.000Z,234.07533889356793,238.38495013235746,233.86583756026477,237.2975616455078,39832000,0,0,246.75825424194335,238.43045349121093,232.40046600341796,242.5433377708901,239.89441201886768,42.11752513363082,false,false
33,2025-01-16T05:00:00.000Z,236.77883010316478,237.4372302632713,227.4812511099753,227.710693359375,71759100,0,0,245.62199478149415,238.54208374023438,232.44013778686522,241.13070496979344,239.41661913026013,32.582825151019506,false,false
34,2025-01-17T05:00:00.000Z,231.5614090278119,231.73099810398455,227.93016912923343,229.4265594482422,68488300,0,0,244.44982299804687,238.7059683227539,232.47394927978516,240.01602444393143,239.0248520839065,35.401580571552316,false,false
35,2025-01-21T05:00:00.000Z,223.46094530610958,223.87993275191027,218.85206818023312,222.10421752929688,98070400,0,0,243.18237991333007,238.69470672607423,232.43114913940428,238.3101380711091,238.36129778764732,29.695600464531594,true,false
36,2025-01-22T05:00:00.000Z,219.26108010259503,223.58066200952604,219.26108010259503,223.29136657714844,64126500,0,0,241.88750381469725,238.72173706054687,232.39175033569336,236.87977888120807,237.77032009311796,31.619919758607566,false,false
37,2025-01-23T05:00:00.000Z,224.19918327232872,226.4836658384098,221.76505253825962,223.1217803955078,60234800,0,0,240.34971313476564,238.6505093383789,232.36600173950194,235.56949331114137,237.19586755595677,31.48733292356978,false,false
38,2025-01-24T05:00:00.000Z,224.23906824814947,225.08702882156655,220.877182986192,222.24388122558594,54697900,0,0,238.72912139892577,238.56711029052735,232.29858978271486,234.30038739823132,236.6095151508442,30.768084433452202,false,false
39,2025-01-27T05:00:00.000Z,223.4809115633434,231.59133678218907,223.44099929694335,229.30685424804688,94863400,0,0,237.3155303955078,238.67943939208985,232.30967971801758,233.82481281249946,236.32313629191097,42.206143841909864,false,false
40,2025-01-28T05:00:00.000Z,230.2944737209622,239.61199368769647,230.25456145518996,237.68663024902344,75707600,0,0,236.28002853393554,238.9593640136719,232.46664932250977,234.19260494931126,236.3766066431703,52.279621451442246,false,false
41,2025-01-29T05:00:00.000Z,233.55658589116152,239.28277807440017,233.446849997024,238.7839813232422,45486100,0,0,235.47048110961913,239.24347869873046,232.65372497558593,234.62987888968564,236.4710134933692,53.424483860808394,false,false
42,2025-01-30T05:00:00.000Z,238.09563705158317,240.21053038482776,236.63915907674937,237.0182342529297,55658300,0,0,234.74173889160156,239.43042755126953,232.80789688110352,234.8573413052327,236.49247313099903,51.292090129616675,false,false
43,2025-01-31T05:00:00.000Z,246.59515764263173,246.59515764263173,232.87824601959832,235.4320831298828,101075100,0,0,234.02247467041016,239.64989837646485,232.96175262451172,234.91207862186602,236.45088920938665,49.38520439568729,false,false
44,2025-02-03T05:00:00.000Z,229.4365345420127,231.27210292869276,225.1568499027089,227.46128845214844,73063300,0,0,233.2323791503906,239.6496987915039,233.0350035095215,234.20247955808338,236.09835584635772,41.11341343147641,false,false
45,2025-02-04T05:00:00.000Z,226.70312948058964,232.5689843025687,226.10456727432145,232.23977661132812,45067300,0,0,232.70564956665038,239.73988128662108,233.16401138305665,234.01555546791622,235.9470390136115,46.8598551288741,false,false
46,2025-02-05T05:00:00.000Z,227.98006230899622,232.11009917003332,227.7206934550818,231.91058349609375,39620300,0,0,232.08065795898438,239.8091146850586,233.2643165588379,233.8150819467903,235.78874664037548,46.52303689552415,false,false
47,2025-02-06T05:00:00.000Z,230.7334042435517,233.23737378273856,229.875473186273,232.6587677001953,29925300,0,0,231.6322395324707,239.90288848876952,233.3710075378418,233.70495678044793,235.66600236821156,47.44758561192445,false,false
48,2025-02-07T05:00:00.000Z,232.04025529180169,233.43688010961284,226.71309440770742,227.08221435546875,39707200,0,0,230.88055267333985,239.8581964111328,233.42462341308592,233.0742194066404,235.32938323045695,41.66553328187985,false,false
49,2025-02-10T05:00:00.000Z,229.26935130196645,230.2880044885276,226.90244480659103,227.3518524169922,33115600,0.25,0,230.43414306640625,239.75904144287108,233.54251907348632,232.52923207429293,235.0165388848309,42.033362334405886,false,false
50,2025-02-11T05:00:00.000Z,227.90114370319637,234.92193591818142,227.83124330015124,232.3153533935547,53718400,0,0,230.35811462402344,239.7154620361328,233.7053663635254,232.5088626761274,234.91061004203576,48.47413125699441,false,false
51,2025-02-12T05:00:00.000Z,230.89721134547665,236.64967765066982,230.377888084301,236.55978393554688,45243300,0,0,230.55017318725587,239.75936492919922,233.87179458618164,232.89466470083403,234.9752835280558,53.257037269910825,false,false
52,2025-02-13T05:00:00.000Z,236.5997394445533,242.02262084431055,235.2614980047627,241.21368408203125,53614100,0,0,230.74597930908203,239.84846130371093,234.00324844360352,233.68695226094803,235.21992668703524,57.874409042478035,false,false
53,2025-02-14T05:00:00.000Z,240.93404435379279,245.22841586050225,240.67439035154717,244.2796630859375,40896200,0,0,231.57442779541014,239.9537860107422,234.17203857421876,234.695781863328,235.57521046738435,60.6333586621005,false,false
54,2025-02-18T05:00:00.000Z,243.83025306858283,244.85890295305822,241.52328070167576,244.14984130859375,48822500,0,0,232.31059188842772,239.99546142578126,234.35676971435547,235.59616847716285,235.91147050037296,60.45281702989227,false,false
55,2025-02-19T05:00:00.000Z,244.33958470767533,245.68780753699892,242.84154918255663,244.54930114746094,32204200,0,0,233.43284606933594,240.03794342041016,234.53652709960937,236.44884777909598,236.2502089571215,60.83920843343006,false,false
56,2025-02-20T05:00:00.000Z,244.61922281669615,246.4568094488268,243.9700649298591,245.508056640625,32316900,0,0,234.54368057250977,240.0990020751953,234.73583709716797,237.31162957543208,236.61326180745496,61.80381738872102,false,false
57,2025-02-21T05:00:00.000Z,245.6278941258364,248.36431123309396,244.89885442060717,245.22842407226562,53197400,0,0,235.64901275634764,240.1584585571289,234.92089096069336,238.06561000370192,236.95111130803576,61.329321387530335,false,false
58,2025-02-24T05:00:00.000Z,244.609226181644,248.53408727873096,244.09989957647335,246.77639770507812,51326400,0,0,236.87563858032226,240.17086242675782,235.11873397827148,238.8952088324044,237.3364166569394,63.02180120943324,false,false
59,2025-02-25T05:00:00.000Z,247.67521063757022,249.67259136851834,244.58926106556868,246.71646118164062,48013300,0,0,237.74611892700196,240.16171661376953,235.26406005859374,239.64009000852212,237.70426154026103,62.90699818193662,false,false
60,2025-02-26T05:00:00.000Z,244.01001367840516,244.65915630674968,238.8168269352331,240.0452117919922,44433600,0,0,237.8640480041504,240.0446841430664,235.41033584594726,239.67867303551927,237.79606351091715,51.63273921181839,false,false
61,2025-02-27T05:00:00.000Z,239.09646458024955,242.14247324939222,236.74953612071198,236.98922729492188,41153600,0,0,237.77431030273436,239.83720275878906,235.52037185668945,239.42253534593857,237.76442287499577,47.43854036680397,false,false
62,2025-02-28T05:00:00.000Z,236.63967447024518,241.77294223985544,229.89851463379637,241.5232696533203,56833400,0,0,237.99956207275392,239.71701049804688,235.68680953979492,239.62260527997495,237.91182863100852,53.47680930983282,false,false
63,2025-03-03T05:00:00.000Z,241.47333193183624,243.71040379171194,235.80077808405883,237.71826171875,47184000,0,0,238.11387100219727,239.46265808105468,235.80393646240233,239.44123922652494,237.90423777170426,48.44684176149448,false,false
64,2025-03-04T05:00:00.000Z,237.39870037793833,239.75561031847352,234.3726544629493,235.6210174560547,53798100,0,0,238.52185745239257,239.11767852783203,235.95101196289062,239.07740858171826,237.81469972011016,45.885020880308055,false,false
65,2025-03-05T05:00:00.000Z,235.11168617953675,236.2402111793479,228.92979032203158,235.4312744140625,47227600,0,0,238.6814323425293,238.87724243164064,236.05553298950196,238.7301577086082,237.72123206104945,45.64982811174127,false,false
66,2025-03-06T05:00:00.000Z,234.13297099659667,237.54849020730907,232.8546485518437,235.0218048095703,45170400,0,0,238.8369934082031,238.59390075683595,236.11839141845704,238.37698124203317,237.6153721688346,45.11243781483984,false,false
67,2025-03-07T05:00:00.000Z,234.80209169163373,241.05388787370777,234.45254396930395,238.7569122314453,46273600,0,0,239.14190063476562,238.29148712158204,236.22358337402343,238.4131651457867,237.66013844579973,50.80182837886178,false,false
68,2025-03-10T04:00:00.000Z,235.23152514577004,235.85072354308846,223.92635798057333,227.1820831298828,72071200,0,0,239.14689407348632,237.74201446533203,236.22787490844726,237.34353828712918,237.2492343157638,37.74478300785234,false,false
69,2025-03-11T04:00:00.000Z,223.51689291637274,225.54423318142804,217.16522145004404,220.55078125,76137400,0,0,238.8068405151367,237.00145660400392,236.1284846496582,235.74422809311687,236.59439301906718,32.57862981844404,false,false
70,2025-03-12T04:00:00.000Z,219.85169651198805,221.4595886104368,214.6285501658544,216.69583129882812,62547500,0,0,238.0258644104004,236.1674398803711,235.96513427734374,233.93009506508938,235.8140572653323,30.007386656532475,false,true
71,2025-03-13T04:00:00.000Z,215.6671885752157,216.55602242060417,208.14705109128238,209.4053955078125,61368300,0,0,236.66814498901368,235.25604919433593,235.74950714111327,231.59440939296775,234.7784234709198,25.85189720760178,false,true
72,2025-03-14T04:00:00.000Z,210.97334672214788,213.66980775083542,209.30553558500114,213.21041870117188,60107600,0,0,235.2679817199707,234.48839599609374,235.56824310302736,229.84355313660623,233.93261936230223,31.206530397796115,false,true
73,2025-03-17T04:00:00.000Z,213.0306430192638,214.93814530685134,209.69502079955336,213.71974182128906,48073400,0,0,233.73998565673827,233.76644348144532,235.36367218017577,228.30795205895697,233.13995749794879,31.915291751582117,false,true
74,2025-03-18T04:00:00.000Z,213.87952928252258,214.8682229774316,211.21302787332291,212.4114532470703,42432400,0,0,232.1530662536621,233.14940856933595,235.13127014160156,226.79399979115823,232.32707497830648,31.03090525735516,false,true
75,2025-03-19T04:00:00.000Z,213.93944620866878,218.47349365471302,213.470060528986,214.95811462402344,54385400,0,0,230.67350692749022,232.59308349609375,234.93051300048828,225.6667726323835,231.6459392781385,34.81731711295079,false,true
76,2025-03-20T04:00:00.000Z,213.70975404736055,217.20517028159983,211.94206785632258,213.81961059570312,48862900,0,0,229.08908462524414,231.98126739501953,234.76919219970702,224.538471486033,230.94686756510183,33.92074191375421,false,true
77,2025-03-21T04:00:00.000Z,211.2829271905112,218.5533916912833,211.0032951126973,217.98414611816406,94127800,0,0,227.72687072753905,231.50840759277344,234.65141006469727,223.91425002242644,230.43852554757487,40.00646966256767,false,true
